Biskupija,Dekanat,Zupni_ured,Naziv,Adresa,Mjesto,Latitude,Longitude,Phone,URL
Mostarsko-duvanjska biskupija,Ljubuški dekanat,GRLJEVIĆI,Sv. Josip Radnik,,88326 Vitina,4.328.606.928,1.752.296.505,039/848-001,"<a href=""https://biskupija-mostar.ba/zupni_ured_md/grljevici/"" target=""_blank"">GRLJEVIĆI</a>"
Mostarsko-duvanjska biskupija,Grudski dekanat,GRUDE,Sv. Kata,,88347 Ružići,4.337.508.285,1.741.130.627,039/674321,"<a href=""https://biskupija-mostar.ba/zupni_ured_md/grude/"" target=""_blank"">GRUDE</a>"
Mostarsko-duvanjska biskupija,Ljubuški dekanat,HUMAC,Sv. Ante Padovanski,Trg sv. Ante 1,88320 Ljubuški,431.844.846,1.753.403.282,039/833-000,"<a href=""https://biskupija-mostar.ba/zupni_ured_md/humac/"" target=""_blank"">HUMAC</a>"
Mostarsko-duvanjska biskupija,Širokobriješki dekanat,IZBIČNO,Sv. Josip Radnik,,88220 Široki Brijeg,4.344.751.741,1.754.013.029,039/719-500,"<a href=""https://biskupija-mostar.ba/zupni_ured_md/izbicno/"" target=""_blank"">IZBIČNO</a>"
Mostarsko-duvanjska biskupija,Mostarski dekanat,JABLANICA,Bezgrješno Začeće Blažene Djevice Marije,Branilaca grada 24,88420 Jablanica,4.366.525.366,1.776.727.879,036/752-425,"<a href=""https://biskupija-mostar.ba/zupni_ured_md/jablanica/"" target=""_blank"">JABLANICA</a>"
Mostarsko-duvanjska biskupija,Širokobriješki dekanat,JARE,Svi Sveti,,88224 Jare,4.333.071.608,1.765.117.354,039/715-170,"<a href=""https://biskupija-mostar.ba/zupni_ured_md/jare/"" target=""_blank"">JARE</a>"
Mostarsko-duvanjska biskupija,Ljubuški dekanat,KLOBUK,Sv. Marko,,88324 Klobuk,4.327.639.979,17.444.494,039/854-096,"<a href=""https://biskupija-mostar.ba/zupni_ured_md/klobuk/"" target=""_blank"">KLOBUK</a>"
Mostarsko-duvanjska biskupija,Širokobriješki dekanat,KOČERIN,Sv. Petar i Pavao,,88226 Kočerin,4.339.206.794,1.748.666.166,039/711-300,"<a href=""https://biskupija-mostar.ba/zupni_ured_md/kocerin/"" target=""_blank"">KOČERIN</a>"
Mostarsko-duvanjska biskupija,Duvanjski dekanat,KONGORA,Presveto Srce Isusovo,,80244 Kongora,436.521.434,1.732.858.109,034/365-600,"<a href=""https://biskupija-mostar.ba/zupni_ured_md/kongora/"" target=""_blank"">KONGORA</a>"
Mostarsko-duvanjska biskupija,Mostarski dekanat,KONJIC,Sv. Ivan Krstitelj,Omladinska 1,88400 Konjic,4.365.521.378,1.796.968.851,036/730-653,"<a href=""https://biskupija-mostar.ba/zupni_ured_md/konjic/"" target=""_blank"">KONJIC</a>"
Mostarsko-duvanjska biskupija,Broćanski dekanat,KRUŠEVO,Sv. Ilija Prorok,,88203 Kruševo,4.329.258.254,1.775.224.106,036/483-319,"<a href=""https://biskupija-mostar.ba/zupni_ured_md/krusevo/"" target=""_blank"">KRUŠEVO</a>"
Mostarsko-duvanjska biskupija,Grudski dekanat,LEDINAC,Sv. Terezija od Djeteta Isusa,,88343 Donji Mamići,4.334.466.151,1.748.845.874,039/675-115,"<a href=""https://biskupija-mostar.ba/zupni_ured_md/ledinac/"" target=""_blank"">LEDINAC</a>"
Mostarsko-duvanjska biskupija,Širokobriješki dekanat,LJUTI DOLAC,Sv. Ana,,88224 Jare,4.330.896.516,1.769.253.221,039/713-169,"<a href=""https://biskupija-mostar.ba/zupni_ured_md/ljuti-dolac/"" target=""_blank"">LJUTI DOLAC</a>"
Mostarsko-duvanjska biskupija,Broćanski dekanat,MEĐUGORJE,Sv. Jakov apostol stariji,Gospin trg 1,88266 Međugorje,4.319.132.477,176.814.165,036/650206,"<a href=""https://biskupija-mostar.ba/zupni_ured_md/medugorje/"" target=""_blank"">MEĐUGORJE</a>"
Mostarsko-duvanjska biskupija,Mostarski dekanat,MOSTAR,Sv. Petar i Pavao,,88000 Mostar,4.333.768.179,178.091.823,036/319-688,"<a href=""https://biskupija-mostar.ba/zupni_ured_md/mostar/"" target=""_blank"">MOSTAR</a>"
Mostarsko-duvanjska biskupija,Mostarski dekanat,MOSTAR – BIJELI BRIJEG,Sv. Toma apostol,Kneza Trpimira 8,88000 Mostar,4.334.914.303,177.937.776,036/329-490,"<a href=""https://biskupija-mostar.ba/zupni_ured_md/mostar-centar-zalik/"" target=""_blank"">MOSTAR – BIJELI BRIJEG</a>"
Mostarsko-duvanjska biskupija,Mostarski dekanat,MOSTAR – CENTAR-ZALIK,Sv. Ivan apostol i evanđelist,Kneza Višeslava 2,88000 Mostar,4.334.931.619,1.780.440.102,036/326568,"<a href=""https://biskupija-mostar.ba/zupni_ured_md/mostar-cim/"" target=""_blank"">MOSTAR – CENTAR-ZALIK</a>"
Mostarsko-duvanjska biskupija,Mostarski dekanat,MOSTAR – CIM I ILIĆI,Sv. Marko i sv. Luka,Bare b.b.,88000 Mostar,4.334.996.923,1.777.857.451,036/834050,"<a href=""https://biskupija-mostar.ba/zupni_ured_md/mostar-ilici/"" target=""_blank"">MOSTAR – CIM I ILIĆI</a>"
Mostarsko-duvanjska biskupija,Mostarski dekanat,MOSTAR – KATEDRALA,Marija Kraljica i Majka Crkve,Nadbiskupa Čule b.b.,88000 Mostar,4.333.933.338,1.779.801.549,036/331-353,"<a href=""https://biskupija-mostar.ba/zupni_ured_md/mostar-katedrala/"" target=""_blank"">MOSTAR – KATEDRALA</a>"
Mostarsko-duvanjska biskupija,Mostarski dekanat,MOSTAR – RUDNIK - ORLAC,Sv. Matej apostol i evanđelist,Rudarska b.b.,88000 Mostar,4.335.503.198,1.779.629.048,036/348-846,"<a href=""https://biskupija-mostar.ba/zupni_ured_md/mostar-rudnik-orlac/"" target=""_blank"">MOSTAR – RUDNIK - ORLAC</a>"
Mostarsko-duvanjska biskupija,Mostarski dekanat,NEVESINJE,Uznesenje Blažene Djevice Marije,Nemanjića b.b.,88208 Nevesinje,4.326.063.259,181.147.967,,"<a href=""https://biskupija-mostar.ba/zupni_ured_md/nevesinje/"" target=""_blank"">NEVESINJE</a>"
Mostarsko-duvanjska biskupija,Broćanski dekanat,PLOČE - TEPČIĆI,Sv. Ante Padovanski,Tepčići b.b.,88268 Biletić Polje,4.323.804.059,1.777.460.684,036/658-041,"<a href=""https://biskupija-mostar.ba/zupni_ured_md/ploce-tepcici/"" target=""_blank"">PLOČE - TEPČIĆI</a>"
Mostarsko-duvanjska biskupija,Širokobriješki dekanat,POLOG,Rođenje Blažene Djevice Marije,,88000 Mostar,4.334.590.454,1.770.001.303,036/487-082,"<a href=""https://biskupija-mostar.ba/zupni_ured_md/polog/"" target=""_blank"">POLOG</a>"
Mostarsko-duvanjska biskupija,Posuški dekanat,POSUŠJE,Bezgrješno Začeće Blažene Djevice Marije,Trg fra Grge Martića 1,88240 Posušje,4.347.871.517,1.733.144.961,039/681-052,"<a href=""https://biskupija-mostar.ba/zupni_ured_md/posusje/"" target=""_blank"">POSUŠJE</a>"
Mostarsko-duvanjska biskupija,Mostarski dekanat,POTOCI,Presveto Srce Isusovo,,88208 Potoci,4.341.150.891,1.787.522.793,036/345-075,"<a href=""https://biskupija-mostar.ba/zupni_ured_md/potoci/"" target=""_blank"">POTOCI</a>"
Mostarsko-duvanjska biskupija,Duvanjski dekanat,PRISOJE,Uznesenje Blažene Djevice Marije,,80245 Prisoje,4.369.372.337,1.708.465.598,034/366-604,"<a href=""https://biskupija-mostar.ba/zupni_ured_md/prisoje/"" target=""_blank"">PRISOJE</a>"
Mostarsko-duvanjska biskupija,Posuški dekanat,RAKITNO,Sv. Ivan Krstitelj,,88245 Rakitno,4.354.801.262,1.742.500.741,039/692-126,"<a href=""https://biskupija-mostar.ba/zupni_ured_md/rakitno/"" target=""_blank"">RAKITNO</a>"
Mostarsko-duvanjska biskupija,Duvanjski dekanat,RAŠELJKE,Sv. Franjo Asiški,,80246 Kazaginac,4.362.519.169,1.700.970.861,034/364-119,"<a href=""https://biskupija-mostar.ba/zupni_ured_md/raseljke/"" target=""_blank"">RAŠELJKE</a>"
Mostarsko-duvanjska biskupija,Grudski dekanat,RASKRIŽJE,Sv. Ante Padovanski,,88347 Ružići,4.332.833.365,1.744.314.827,039/674-321,"<a href=""https://biskupija-mostar.ba/zupni_ured_md/raskrizje/"" target=""_blank"">RASKRIŽJE</a>"
Mostarsko-duvanjska biskupija,Širokobriješki dekanat,RASNO,Sv. Franjo Asiški,,88342 Dužice,4.332.654.166,1.753.658.876,039/712-555,"<a href=""https://biskupija-mostar.ba/zupni_ured_md/rasno/"" target=""_blank"">RASNO</a>"
Mostarsko-duvanjska biskupija,Duvanjski dekanat,ROŠKO POLJE,Sv. Ivan Krstitelj,,80247 Roško Polje,4.357.587.957,1.717.510.279,034/369-105,"<a href=""https://biskupija-mostar.ba/zupni_ured_md/rosko-polje/"" target=""_blank"">ROŠKO POLJE</a>"
Mostarsko-duvanjska biskupija,Grudski dekanat,RUŽIĆI,Sv. Ivan Krstitelj,,88347 Ružići,4.334.446.965,1.739.751.096,039/674-291,"<a href=""https://biskupija-mostar.ba/zupni_ured_md/ruzici/"" target=""_blank"">RUŽIĆI</a>"
Mostarsko-duvanjska biskupija,Posuški dekanat,SAMOSTALNA KAPELANIJA MASNA LUKA - POLJA,Sv. Ilija Prorok,,88240 Posušje,4.362.990.238,175.468.553,039/718-100,"<a href=""https://biskupija-mostar.ba/zupni_ured_md/samostalna-kapelanija-masna-luka-polja/"" target=""_blank"">SAMOSTALNA KAPELANIJA MASNA LUKA - POLJA</a>"
Mostarsko-duvanjska biskupija,Duvanjski dekanat,SEONICA,Uznesenje Blažene Djevice Marije,,80243 Mesihovina,436.115.946,173.273.136,034/368-043,"<a href=""https://biskupija-mostar.ba/zupni_ured_md/seonica/"" target=""_blank"">SEONICA</a>"
Mostarsko-duvanjska biskupija,Ljubuški dekanat,ŠIPOVAČA - VOJNIĆI,Presveto Srce Isusovo,,88326 Vitina,4.326.223.356,1.740.912.976,039/842-192,"<a href=""https://biskupija-mostar.ba/zupni_ured_md/sipovaca-vojnici/"" target=""_blank"">ŠIPOVAČA - VOJNIĆI</a>"
Mostarsko-duvanjska biskupija,Širokobriješki dekanat,ŠIROKI BRIJEG,Uznesenje Blažene Djevice Marije,Kardinala Alojzija Stepinca 14,88220 Široki Brijeg,4.337.442.236,175.898.623,039/702900,"<a href=""https://biskupija-mostar.ba/zupni_ured_md/siroki-brijeg/"" target=""_blank"">ŠIROKI BRIJEG</a>"
Mostarsko-duvanjska biskupija,Ljubuški dekanat,STUDENCI,Svetište Presvetoga Srca Isusova,,88323 Studenci,4.316.754.636,1.763.648.317,039/844261,"<a href=""https://biskupija-mostar.ba/zupni_ured_md/studenci/"" target=""_blank"">STUDENCI</a>"
Mostarsko-duvanjska biskupija,Duvanjski dekanat,ŠUICA,Sv. Ante Padovanski,,80249 Šuica,4.383.891.304,1.718.465.053,034/367-100,"<a href=""https://biskupija-mostar.ba/zupni_ured_md/suica/"" target=""_blank"">ŠUICA</a>"
Mostarsko-duvanjska biskupija,Posuški dekanat,SUTINA,Sv. Ante Padovanski,,88245 Rakitno,43.516.215,1.745.727.975,039/695-141,"<a href=""https://biskupija-mostar.ba/zupni_ured_md/sutina/"" target=""_blank"">SUTINA</a>"
Mostarsko-duvanjska biskupija,Ljubuški dekanat,TIHALJINA,Bezgrješno Začeće Blažene Djevice Marije,,88348 Tihaljina,4.331.517.207,1.738.628.887,039/673-004,"<a href=""https://biskupija-mostar.ba/zupni_ured_md/tihaljina/"" target=""_blank"">TIHALJINA</a>"
Mostarsko-duvanjska biskupija,Ljubuški dekanat,VELJACI,Pohođenje Blažene Djevice Marije,,88326 Vitina,4.323.666.311,1.744.710.672,039/841-801,"<a href=""https://biskupija-mostar.ba/zupni_ured_md/veljaci/"" target=""_blank"">VELJACI</a>"
Mostarsko-duvanjska biskupija,Duvanjski dekanat,VINICA,Rođenje Blažene Djevice Marije,,58246 Aržano,4.359.166.183,1.709.990.558,00385 92 365 9424,"<a href=""https://biskupija-mostar.ba/zupni_ured_md/vinica/"" target=""_blank"">VINICA</a>"
Mostarsko-duvanjska biskupija,Posuški dekanat,VINJANI,Sv. Josip,,88240 Posušje,4.349.995.282,1.724.279.748,039/693-118,"<a href=""https://biskupija-mostar.ba/zupni_ured_md/vinjani/"" target=""_blank"">VINJANI</a>"
Mostarsko-duvanjska biskupija,Posuški dekanat,VIR,Sv. Jure,,88247 Vir,4.352.832.678,1.720.816.152,039/691-246,"<a href=""https://biskupija-mostar.ba/zupni_ured_md/vir/"" target=""_blank"">VIR</a>"
Mostarsko-duvanjska biskupija,Ljubuški dekanat,VITINA,Sv. Paškal Bajlonski,,88326 Vitina,4.324.503.156,1.749.615.293,039/841-890,"<a href=""https://biskupija-mostar.ba/zupni_ured_md/vitina/"" target=""_blank"">VITINA</a>"
Mostarsko-duvanjska biskupija,Posuški dekanat,ZAGORJE,Gospa od Zdravlja,,88247 Vir,4.354.726.082,1.723.398.104,039/690-171,"<a href=""https://biskupija-mostar.ba/zupni_ured_md/zagorje/"" target=""_blank"">ZAGORJE</a>"
